Reg No,Name,Year,Semester,Email,CGPA,Password
231FA0161,Student_161,3,2,student161@college.edu,7.9515,nXcLhcw7
231FA0162,Student_162,1,2,student162@college.edu,6.3403,63MBcYGZ
231FA0163,Student_163,4,2,student163@college.edu,8.1207,Ok2JoXm0
231FA0164,Student_164,4,2,student164@college.edu,7.0471,6ikVaIk0
231FA0165,Student_165,2,1,student165@college.edu,7.7602,i6Rx7GJf
231FA0166,Student_166,1,1,student166@college.edu,7.1806,YxGSlecY
231FA0167,Student_167,4,1,student167@college.edu,6.4723,VIIoBHNO
231FA0168,Student_168,3,2,student168@college.edu,9.7423,VcahiM4l
231FA0169,Student_169,3,1,student169@college.edu,8.818,wh3GVHJY
231FA0170,Student_170,2,2,student170@college.edu,5.7006,Lt9M0fEb
231FA0171,Student_171,4,2,student171@college.edu,9.3423,Besft1ZZ
231FA0172,Student_172,1,2,student172@college.edu,7.4372,RKvJEKm8
231FA0173,Student_173,3,1,student173@college.edu,9.4728,4jAixIFg
231FA0174,Student_174,4,1,student174@college.edu,8.9993,ueOCWeiR
231FA0175,Student_175,4,1,student175@college.edu,7.1261,Tg5GsVpD
231FA0176,Student_176,2,1,student176@college.edu,5.1123,AUgnajbQ
231FA0177,Student_177,3,1,student177@college.edu,6.3434,kf74HZ29
231FA0178,Student_178,3,2,student178@college.edu,7.7082,u9fw2SsS
231FA0179,Student_179,1,1,student179@college.edu,8.1674,7HeOkNQI
231FA0180,Student_180,3,1,student180@college.edu,6.2894,qTKZDjaB
231FA0181,Student_181,1,1,student181@college.edu,5.6968,EllKKQsy
231FA0182,Student_182,3,2,student182@college.edu,9.1747,T4gIwglK
231FA0183,Student_183,2,1,student183@college.edu,9.922,p4LO6XnD
231FA0184,Student_184,3,2,student184@college.edu,7.6285,Lt9J1ec9
231FA0185,Student_185,1,1,student185@college.edu,5.8584,tC6SjEVn
231FA0186,Student_186,1,2,student186@college.edu,6.3615,uCKbEmYw
231FA0187,Student_187,2,2,student187@college.edu,5.092,DOnmKsAF
231FA0188,Student_188,3,2,student188@college.edu,9.5715,09UjaVZV
231FA0189,Student_189,3,1,student189@college.edu,5.5888,oX9QTLpT
231FA0190,Student_190,2,2,student190@college.edu,7.8826,ZdP50EXR
231FA0191,Student_191,3,1,student191@college.edu,6.3703,DaoqRItF
231FA0192,Student_192,3,1,student192@college.edu,7.7709,O5WZ1ghn
231FA0193,Student_193,1,2,student193@college.edu,8.2571,z0NssdOj
231FA0194,Student_194,3,1,student194@college.edu,9.1487,aOIGdeEG
231FA0195,Student_195,3,1,student195@college.edu,6.0321,bjYKYJNT
231FA0196,Student_196,2,2,student196@college.edu,5.055,yuh0ueP0
231FA0197,Student_197,2,1,student197@college.edu,5.6844,z6Xu3ghS
231FA0198,Student_198,4,2,student198@college.edu,9.5001,Fsax8O1H
231FA0199,Student_199,1,1,student199@college.edu,9.3695,f07GRERG
231FA0200,Student_200,3,2,student200@college.edu,7.9871,kVDhd2AW
231FA0201,Student_201,3,2,student201@college.edu,8.0026,9vVAs5Rh
231FA0202,Student_202,4,1,student202@college.edu,8.3252,P1kim3ak
231FA0203,Student_203,3,2,student203@college.edu,5.8769,xp8IocnD
231FA0204,Student_204,1,1,student204@college.edu,9.5721,1kRG51rr
231FA0205,Student_205,4,2,student205@college.edu,7.0939,Pf0MGbRS
231FA0206,Student_206,1,1,student206@college.edu,6.9157,HRtMo2hC
231FA0207,Student_207,4,1,student207@college.edu,7.5946,fFpFt1R8
231FA0208,Student_208,4,2,student208@college.edu,5.2348,p4MjHUD1
231FA0209,Student_209,2,2,student209@college.edu,5.8314,IcJtOXSt
231FA0210,Student_210,1,1,student210@college.edu,8.6902,iuFh4AOb
231FA0211,Student_211,3,2,student211@college.edu,5.414,KOGlAGQQ
231FA0212,Student_212,3,1,student212@college.edu,8.0158,Xgan5yIf
231FA0213,Student_213,1,2,student213@college.edu,6.2267,57ziASbm
231FA0214,Student_214,3,2,student214@college.edu,6.9465,kWlCq0gU
231FA0215,Student_215,3,2,student215@college.edu,6.4435,epele9is
231FA0216,Student_216,1,2,student216@college.edu,6.7784,MsuIGS6o
231FA0217,Student_217,4,1,student217@college.edu,8.5952,kWAQO2FP
231FA0218,Student_218,1,1,student218@college.edu,6.4856,bsbQKgFz
231FA0219,Student_219,4,2,student219@college.edu,7.832,4vOOV5sq
231FA0220,Student_220,3,2,student220@college.edu,7.3803,x0pTgMDR
231FA0221,Student_221,3,1,student221@college.edu,8.3184,vdCX1lkq
231FA0222,Student_222,3,2,student222@college.edu,9.6841,Dc2GfXAK
231FA0223,Student_223,2,1,student223@college.edu,8.6629,M4y2Ks1w
231FA0224,Student_224,4,2,student224@college.edu,6.0747,pZ8ThCVN
231FA0225,Student_225,2,1,student225@college.edu,5.1559,BCU7XFk9
231FA0226,Student_226,2,1,student226@college.edu,6.3113,iOyKDeNC
231FA0227,Student_227,1,1,student227@college.edu,7.9754,tbtJARjT
231FA0228,Student_228,2,1,student228@college.edu,5.2571,U2Dw7TqA
231FA0229,Student_229,1,2,student229@college.edu,7.4818,uhNldHVO
231FA0230,Student_230,1,1,student230@college.edu,7.9842,aZr9fzMM
231FA0231,Student_231,2,1,student231@college.edu,6.6712,esp7W6Xt
231FA0232,Student_232,4,1,student232@college.edu,8.8546,gitZJmWk
231FA0233,Student_233,4,2,student233@college.edu,5.533,Ql65diTe
231FA0234,Student_234,4,1,student234@college.edu,5.3757,YhZ0pVJd
231FA0235,Student_235,4,1,student235@college.edu,8.6409,Pf0kKpra
231FA0236,Student_236,4,1,student236@college.edu,7.4775,ldwv2TsN
231FA0237,Student_237,2,1,student237@college.edu,8.442,Nw55TSOz
231FA0238,Student_238,2,2,student238@college.edu,7.1741,7U3apOYn
231FA0239,Student_239,3,2,student239@college.edu,6.232,woP5XxEd
231FA0240,Student_240,4,1,student240@college.edu,9.0955,kDSUHxBQ
231FA0241,Student_241,2,2,student241@college.edu,8.9971,AlJA4p35
231FA0242,Student_242,3,2,student242@college.edu,8.4735,SasS7OLj
231FA0243,Student_243,4,1,student243@college.edu,6.3607,och3eDzq
231FA0244,Student_244,1,2,student244@college.edu,7.9512,v8MS6nlv
231FA0245,Student_245,3,2,student245@college.edu,6.8049,CR9LjNVm
231FA0246,Student_246,2,1,student246@college.edu,5.4579,pNvHX51U
231FA0247,Student_247,1,1,student247@college.edu,9.5866,GqspDAAk
231FA0248,Student_248,1,1,student248@college.edu,5.6841,Pl5hPDcj
231FA0249,Student_249,1,2,student249@college.edu,9.7512,eOVC4KGM
231FA0250,Student_250,3,1,student250@college.edu,7.23,IX0EPyKJ
231FA0251,Student_251,2,2,student251@college.edu,5.9257,e2ZRRzkE
231FA0252,Student_252,1,2,student252@college.edu,7.7095,Vtb8bwLl
231FA0253,Student_253,4,2,student253@college.edu,9.3647,D1UHeq1w
231FA0254,Student_254,1,2,student254@college.edu,8.6611,qGyGkOSA
231FA0255,Student_255,1,1,student255@college.edu,9.0328,TfWfQstg
231FA0256,Student_256,3,1,student256@college.edu,8.2939,UbybDFPr
231FA0257,Student_257,3,1,student257@college.edu,8.4614,Fz3XWJbt
231FA0258,Student_258,2,2,student258@college.edu,9.246,JJBzUhvR
231FA0259,Student_259,4,1,student259@college.edu,6.2483,gUclW4WM
231FA0260,Student_260,3,2,student260@college.edu,7.4471,XIz9lPfs
231FA0261,Student_261,1,1,student261@college.edu,6.106,sTv3FvyZ
231FA0262,Student_262,2,2,student262@college.edu,9.9383,AjlqdUU6
231FA0263,Student_263,1,2,student263@college.edu,9.7203,DG6rTbgg
231FA0264,Student_264,1,1,student264@college.edu,5.1971,Yjvbakja
231FA0265,Student_265,3,1,student265@college.edu,8.5279,eAZf67WL
231FA0266,Student_266,2,1,student266@college.edu,9.6262,0h7ZYd0n
231FA0267,Student_267,4,1,student267@college.edu,5.9029,Pn1Lv8nn
231FA0268,Student_268,4,2,student268@college.edu,7.8397,L5p3LW1G
231FA0269,Student_269,3,1,student269@college.edu,9.5774,VQ0RCPzn
231FA0270,Student_270,3,2,student270@college.edu,5.1697,SNgCXcba
231FA0271,Student_271,2,1,student271@college.edu,8.4871,w0AvDELN
231FA0272,Student_272,4,1,student272@college.edu,6.4867,7CCt7nDm
231FA0273,Student_273,4,2,student273@college.edu,9.622,aYkmwaeS
231FA0274,Student_274,4,2,student274@college.edu,9.8553,VwrF7hbz
231FA0275,Student_275,1,1,student275@college.edu,9.7213,oOYBQn2W
231FA0276,Student_276,4,2,student276@college.edu,7.3711,aPZ1ijgS
231FA0277,Student_277,1,1,student277@college.edu,9.3102,g4Kn1WsM
231FA0278,Student_278,2,1,student278@college.edu,9.2227,K4Bmexlm
231FA0279,Student_279,1,1,student279@college.edu,6.5955,Qtdm5pW8
231FA0280,Student_280,2,2,student280@college.edu,9.1446,oVDTX9I6
231FA0281,Student_281,4,2,student281@college.edu,5.185,PONAaMzQ
231FA0282,Student_282,4,2,student282@college.edu,7.9813,9hjWoqkv
231FA0283,Student_283,2,1,student283@college.edu,6.15,yL7lhDZS
231FA0284,Student_284,3,1,student284@college.edu,5.6028,CbNsIkpI
231FA0285,Student_285,2,2,student285@college.edu,5.3848,dYDlqqdD
231FA0286,Student_286,3,2,student286@college.edu,8.4814,7zcuJ1DI
231FA0287,Student_287,1,2,student287@college.edu,6.6994,ezZdYqBh
231FA0288,Student_288,1,1,student288@college.edu,8.6238,QtdDQQdY
231FA0289,Student_289,1,1,student289@college.edu,5.3268,OyW8V8NN
231FA0290,Student_290,4,2,student290@college.edu,6.5765,MFvfsIiI
231FA0291,Student_291,1,2,student291@college.edu,7.6975,vQtYZCWT
231FA0292,Student_292,3,1,student292@college.edu,8.9536,ROVfttG7
231FA0293,Student_293,1,1,student293@college.edu,6.5938,AF1FGVIz
231FA0294,Student_294,2,1,student294@college.edu,8.1295,vCm6cIYd
231FA0295,Student_295,2,2,student295@college.edu,9.4299,l9VgKpsz
231FA0296,Student_296,4,2,student296@college.edu,8.0793,yjqRgQ5E
231FA0297,Student_297,2,1,student297@college.edu,6.1648,epbGJzQw
231FA0298,Student_298,3,1,student298@college.edu,5.122,fqw3F6Gx
231FA0299,Student_299,1,2,student299@college.edu,9.3505,rwgNl1nz
231FA0300,Student_300,4,1,student300@college.edu,5.1063,vrnWggM5
231FA0301,Student_301,1,1,student301@college.edu,9.3735,RPohBU1K
231FA0302,Student_302,1,2,student302@college.edu,7.6447,WmRXb04i
231FA0303,Student_303,3,1,student303@college.edu,9.6953,t8bCUiFj
231FA0304,Student_304,2,2,student304@college.edu,8.9939,43Y9qndq
231FA0305,Student_305,2,1,student305@college.edu,9.9897,IE7xwLTs
231FA0306,Student_306,1,2,student306@college.edu,6.7536,BvTXqwSV
231FA0307,Student_307,4,2,student307@college.edu,8.8359,WgQ8OyOZ
231FA0308,Student_308,2,1,student308@college.edu,7.0097,2z45GKNh
231FA0309,Student_309,4,1,student309@college.edu,7.3994,MUpKOypY
231FA0310,Student_310,2,1,student310@college.edu,8.1375,wiOTPyaw
231FA0311,Student_311,4,2,student311@college.edu,9.3684,6rQmtHZr
231FA0312,Student_312,3,1,student312@college.edu,9.9204,Mt4NlLpc
231FA0313,Student_313,4,2,student313@college.edu,8.8414,WgChnh3w
231FA0314,Student_314,3,2,student314@college.edu,7.0888,2KkuB6iz
231FA0315,Student_315,3,2,student315@college.edu,7.1068,jceCi2XY
231FA0316,Student_316,4,1,student316@college.edu,8.6879,zdEfEPbc
231FA0317,Student_317,3,2,student317@college.edu,6.1939,6G4TUgp0
231FA0318,Student_318,1,1,student318@college.edu,5.5524,Pm5N1xei
231FA0319,Student_319,3,2,student319@college.edu,6.7731,rlC8AVlG
231FA0320,Student_320,2,2,student320@college.edu,6.4362,eZZXngkg
231FA0321,Student_321,4,1,student321@college.edu,6.4815,GG2EVkWi
231FA0322,Student_322,1,2,student322@college.edu,6.168,j4PBd266
231FA0323,Student_323,4,2,student323@college.edu,5.2105,dxIHBXrJ
231FA0324,Student_324,2,1,student324@college.edu,5.0894,F1ynLuGe
231FA0325,Student_325,2,1,student325@college.edu,9.9386,5pkeFM7I
231FA0326,Student_326,2,2,student326@college.edu,7.1389,JvGsic8K
231FA0327,Student_327,3,2,student327@college.edu,6.9216,zlELQD1e
231FA0328,Student_328,3,1,student328@college.edu,8.3982,pQuHZjRH
231FA0329,Student_329,4,2,student329@college.edu,6.0913,raLNSjF2
231FA0330,Student_330,4,2,student330@college.edu,9.7498,Sl5Yh8ln
231FA0331,Student_331,1,1,student331@college.edu,8.9317,iQUtnREq
231FA0332,Student_332,1,2,student332@college.edu,5.4471,ioYFHtmT
231FA0333,Student_333,4,1,student333@college.edu,7.0879,TIOXwNbi
231FA0334,Student_334,3,1,student334@college.edu,9.3956,djfkWXzO
231FA0335,Student_335,2,2,student335@college.edu,9.7237,mKY3nEUa
231FA0336,Student_336,4,2,student336@college.edu,7.337,OJKJeMdY
231FA0337,Student_337,1,1,student337@college.edu,8.0671,slRNty1A
231FA0338,Student_338,3,2,student338@college.edu,5.8352,pwR6FBVZ
231FA0339,Student_339,4,1,student339@college.edu,9.9558,8ErQ6dTI
231FA0340,Student_340,4,2,student340@college.edu,6.1584,sqyXWTKJ
231FA0341,Student_341,3,1,student341@college.edu,9.7137,068pBRzU
231FA0342,Student_342,4,1,student342@college.edu,8.2482,UmUfadoZ
231FA0343,Student_343,3,1,student343@college.edu,8.0387,1Q6tmK5f
231FA0344,Student_344,2,1,student344@college.edu,7.5634,eZ5Wuff6
231FA0345,Student_345,3,2,student345@college.edu,6.1533,Yt2J4gsF
231FA0346,Student_346,3,1,student346@college.edu,5.8826,EHbGZQWU
231FA0347,Student_347,3,2,student347@college.edu,6.1024,GiUlZ3x9
231FA0348,Student_348,4,1,student348@college.edu,5.9322,3vGwLfBM
231FA0349,Student_349,4,2,student349@college.edu,8.8979,yG9Ct8rD
231FA0350,Student_350,3,2,student350@college.edu,6.7506,G1U5SSLJ
231FA0351,Student_351,4,2,student351@college.edu,5.2892,Gns7LHny
231FA0352,Student_352,1,1,student352@college.edu,9.8455,VaAz8edp
231FA0353,Student_353,1,2,student353@college.edu,9.4189,Ycqe77xT
231FA0354,Student_354,4,2,student354@college.edu,9.6388,rypZSb4P
231FA0355,Student_355,4,1,student355@college.edu,9.9745,In9hnbaT
231FA0356,Student_356,3,2,student356@college.edu,5.8695,CKtnCyir
231FA0357,Student_357,2,1,student357@college.edu,6.9812,ugLzjJYx
231FA0358,Student_358,4,1,student358@college.edu,8.7912,R0QOY3b3
231FA0359,Student_359,1,2,student359@college.edu,8.4801,VqhvsYBl
231FA0360,Student_360,3,1,student360@college.edu,5.7695,rasNblKr
231FA0361,Student_361,4,1,student361@college.edu,9.0792,Wt71uYnd
231FA0362,Student_362,1,2,student362@college.edu,6.1222,uyoqhqtP
231FA0363,Student_363,1,1,student363@college.edu,6.1191,5UeZW91i
231FA0364,Student_364,2,2,student364@college.edu,7.6849,nAl14aJr
231FA0365,Student_365,3,2,student365@college.edu,7.9647,Ewb3Tr05
231FA0366,Student_366,3,1,student366@college.edu,7.9004,JxUMEdOe
231FA0367,Student_367,2,2,student367@college.edu,5.4574,T9B2xt7S
231FA0368,Student_368,2,2,student368@college.edu,9.3873,OG65SEhE
231FA0369,Student_369,3,2,student369@college.edu,6.328,ivE9a6XT
231FA0370,Student_370,3,1,student370@college.edu,5.6476,88lUmSjU
231FA0371,Student_371,4,2,student371@college.edu,9.4437,YKvEIZJ7
231FA0372,Student_372,4,1,student372@college.edu,9.7783,HH8scJiY
231FA0373,Student_373,2,1,student373@college.edu,9.3106,i6SSZtgb
231FA0374,Student_374,4,1,student374@college.edu,9.0476,z1bFJTlt
231FA0375,Student_375,1,2,student375@college.edu,8.2762,qJQl6XqX
231FA0376,Student_376,4,2,student376@college.edu,7.7543,Q1231zCb
231FA0377,Student_377,4,1,student377@college.edu,5.4349,Ab7GpsUa
231FA0378,Student_378,1,2,student378@college.edu,7.0423,TRXEJCz2
231FA0379,Student_379,2,1,student379@college.edu,6.8634,6vQPtG7a
